Website,CDN_Server_1,CDN_Server_2,CDN_Server_3,CDN_Server_4,CDN_Server_5,CDN_Server_6,CDN_Server_7,CDN_Server_8,CDN_Server_9,CDN_Server_10,CDN_Server_11,CDN_Server_12,CDN_Server_13,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10,IP11,IP12,IP13
weathernews.jp,server-108-158-20-33.syd62.r.cloudfront.net,server-18-164-124-110.jfk50.r.cloudfront.net,server-18-164-124-62.jfk50.r.cloudfront.net,server-18-238-243-9.ams58.r.cloudfront.net,server-18-244-18-73.fra56.r.cloudfront.net,server-3-168-86-32.sfo5.r.cloudfront.net,server-13-35-238-70.sin2.r.cloudfront.net,server-18-239-142-116.bom54.r.cloudfront.net,server-3-168-86-106.sfo5.r.cloudfront.net,server-52-85-151-129.iad89.r.cloudfront.net,server-3-164-92-33.yto53.r.cloudfront.net,server-18-244-18-12.fra56.r.cloudfront.net,,108.158.20.33,18.164.124.110,18.164.124.62,18.238.243.9,18.244.18.73,3.168.86.32,13.35.238.70,18.239.142.116,3.168.86.106,52.85.151.129,3.164.92.33,18.244.18.12,None
justdial.com,a23-55-3-253.deploy.static.akamaitechnologies.com,a23-196-117-150.deploy.static.akamaitechnologies.com,a23-10-147-253.deploy.static.akamaitechnologies.com,a23-45-102-22.deploy.static.akamaitechnologies.com,a23-201-179-247.deploy.static.akamaitechnologies.com,a23-59-67-241.deploy.static.akamaitechnologies.com,a23-210-104-26.deploy.static.akamaitechnologies.com,a23-48-131-253.deploy.static.akamaitechnologies.com,a23-223-6-225.deploy.static.akamaitechnologies.com,a23-4-40-80.deploy.static.akamaitechnologies.com,,,,23.55.3.253,23.196.117.150,23.10.147.253,23.45.102.22,23.201.179.247,23.59.67.241,23.210.104.26,23.48.131.253,23.223.6.225,23.4.40.80,None,None,None
granbluefantasy.jp,server-13-227-219-87.ams54.r.cloudfront.net,server-108-157-142-56.mci50.r.cloudfront.net,server-108-157-142-47.mci50.r.cloudfront.net,server-52-85-223-48.ath50.r.cloudfront.net,server-3-166-216-61.nrt20.r.cloudfront.net,server-3-163-44-62.per50.r.cloudfront.net,server-3-166-216-11.nrt20.r.cloudfront.net,server-13-227-219-94.ams54.r.cloudfront.net,server-108-157-142-74.mci50.r.cloudfront.net,server-18-65-229-59.sea73.r.cloudfront.net,,,,13.227.219.87,108.157.142.56,108.157.142.47,52.85.223.48,3.166.216.61,3.163.44.62,3.166.216.11,13.227.219.94,108.157.142.74,18.65.229.59,None,None,None
expedia.com,a23-37-55-159.deploy.static.akamaitechnologies.com,a23-13-157-77.deploy.static.akamaitechnologies.com,a23-2-218-36.deploy.static.akamaitechnologies.com,a23-15-107-218.deploy.static.akamaitechnologies.com,a23-214-103-30.deploy.static.akamaitechnologies.com,a23-201-183-113.deploy.static.akamaitechnologies.com,a23-38-139-129.deploy.static.akamaitechnologies.com,a23-58-29-194.deploy.static.akamaitechnologies.com,,,,,,23.37.55.159,23.13.157.77,23.2.218.36,23.15.107.218,23.214.103.30,23.201.183.113,23.38.139.129,23.58.29.194,None,None,None,None,None
protothema.gr,a23-62-46-101.deploy.static.akamaitechnologies.com,a96-16-53-155.deploy.static.akamaitechnologies.com,a23-223-209-67.deploy.static.akamaitechnologies.com,a23-223-209-58.deploy.static.akamaitechnologies.com,a96-7-224-145.deploy.static.akamaitechnologies.com,a23-46-187-163.deploy.static.akamaitechnologies.com,a23-45-207-172.deploy.static.akamaitechnologies.com,a23-206-242-179.deploy.static.akamaitechnologies.com,a23-223-17-172.deploy.static.akamaitechnologies.com,a193-108-153-8.deploy.static.akamaitechnologies.com,a104-86-111-139.deploy.static.akamaitechnologies.com,,,23.62.46.101,96.16.53.155,23.223.209.67,23.223.209.58,96.7.224.145,23.46.187.163,23.45.207.172,23.206.242.179,23.223.17.172,193.108.153.8,104.86.111.139,None,None
trello.com,server-99-84-191-123.iad89.r.cloudfront.net,server-3-168-102-20.jfk52.r.cloudfront.net,server-18-239-50-17.ams58.r.cloudfront.net,server-3-165-82-5.sin2.r.cloudfront.net,server-52-222-214-71.fra56.r.cloudfront.net,server-18-244-214-9.sfo53.r.cloudfront.net,server-3-168-102-88.jfk52.r.cloudfront.net,server-18-244-214-42.sfo53.r.cloudfront.net,server-108-158-32-30.syd3.r.cloudfront.net,server-18-67-39-17.yto50.r.cloudfront.net,server-18-239-111-54.bom54.r.cloudfront.net,,,99.84.191.123,3.168.102.20,18.239.50.17,3.165.82.5,52.222.214.71,18.244.214.9,3.168.102.88,18.244.214.42,108.158.32.30,18.67.39.17,18.239.111.54,None,None
manoramaonline.com,a23-56-162-48.deploy.static.akamaitechnologies.com,a23-62-10-44.deploy.static.akamaitechnologies.com,a23-54-56-229.deploy.static.akamaitechnologies.com,a23-195-121-222.deploy.static.akamaitechnologies.com,a23-223-225-28.deploy.static.akamaitechnologies.com,a23-206-48-48.deploy.static.akamaitechnologies.com,a59-151-137-31.deploy.static.akamaitechnologies.com,a2-16-96-210.deploy.static.akamaitechnologies.com,a2-22-68-235.deploy.static.akamaitechnologies.com,a184-30-156-48.deploy.static.akamaitechnologies.com,,,,23.56.162.48,23.62.10.44,23.54.56.229,23.195.121.222,23.223.225.28,23.206.48.48,59.151.137.31,2.16.96.210,2.22.68.235,184.30.156.48,None,None,None
gamewith.jp,server-108-138-246-126.sfo5.r.cloudfront.net,server-52-85-151-61.iad89.r.cloudfront.net,server-18-65-244-44.syd3.r.cloudfront.net,server-3-168-73-75.jfk50.r.cloudfront.net,server-18-239-111-70.bom54.r.cloudfront.net,server-18-67-17-118.yto50.r.cloudfront.net,server-13-33-88-92.sin2.r.cloudfront.net,server-13-35-58-18.fra60.r.cloudfront.net,server-18-239-18-105.ams58.r.cloudfront.net,server-3-168-73-124.jfk50.r.cloudfront.net,server-13-35-58-47.fra60.r.cloudfront.net,server-108-138-246-36.sfo5.r.cloudfront.net,,108.138.246.126,52.85.151.61,18.65.244.44,3.168.73.75,18.239.111.70,18.67.17.118,13.33.88.92,13.35.58.18,18.239.18.105,3.168.73.124,13.35.58.47,108.138.246.36,None
rakuten-sec.co.jp,a184-29-17-21.deploy.static.akamaitechnologies.com,a23-221-141-35.deploy.static.akamaitechnologies.com,a23-36-17-250.deploy.static.akamaitechnologies.com,a23-217-177-33.deploy.static.akamaitechnologies.com,,,,,,,,,,184.29.17.21,23.221.141.35,23.36.17.250,23.217.177.33,None,None,None,None,None,None,None,None,None
zozo.jp,a23-49-248-20.deploy.static.akamaitechnologies.com,a23-67-33-48.deploy.static.akamaitechnologies.com,a23-67-33-4.deploy.static.akamaitechnologies.com,a23-205-255-235.deploy.static.akamaitechnologies.com,a2-21-20-6.deploy.static.akamaitechnologies.com,a95-101-74-80.deploy.static.akamaitechnologies.com,a23-11-215-147.deploy.static.akamaitechnologies.com,a23-206-243-8.deploy.static.akamaitechnologies.com,a96-17-180-46.deploy.static.akamaitechnologies.com,a2-19-248-76.deploy.static.akamaitechnologies.com,a23-48-105-17.deploy.static.akamaitechnologies.com,a23-49-248-25.deploy.static.akamaitechnologies.com,,23.49.248.20,23.67.33.48,23.67.33.4,23.205.255.235,2.21.20.6,95.101.74.80,23.11.215.147,23.206.243.8,96.17.180.46,2.19.248.76,23.48.105.17,23.49.248.25,None
livehindustan.com,a23-205-255-239.deploy.static.akamaitechnologies.com,a2-21-20-13.deploy.static.akamaitechnologies.com,a23-32-29-16.deploy.static.akamaitechnologies.com,a95-101-74-122.deploy.static.akamaitechnologies.com,a23-216-149-139.deploy.static.akamaitechnologies.com,a23-67-33-30.deploy.static.akamaitechnologies.com,a23-48-224-69.deploy.static.akamaitechnologies.com,a23-49-248-30.deploy.static.akamaitechnologies.com,a23-11-215-155.deploy.static.akamaitechnologies.com,a23-206-243-32.deploy.static.akamaitechnologies.com,a2-19-248-99.deploy.static.akamaitechnologies.com,a23-48-105-15.deploy.static.akamaitechnologies.com,,23.205.255.239,2.21.20.13,23.32.29.16,95.101.74.122,23.216.149.139,23.67.33.30,23.48.224.69,23.49.248.30,23.11.215.155,23.206.243.32,2.19.248.99,23.48.105.15,None
aajtak.in,a23-57-90-73.deploy.static.akamaitechnologies.com,a23-67-33-215.deploy.static.akamaitechnologies.com,a2-18-190-136.deploy.static.akamaitechnologies.com,a104-97-14-33.deploy.static.akamaitechnologies.com,a104-117-182-17.deploy.static.akamaitechnologies.com,a23-49-60-129.deploy.static.akamaitechnologies.com,a23-67-33-223.deploy.static.akamaitechnologies.com,a23-56-109-174.deploy.static.akamaitechnologies.com,a23-53-40-123.deploy.static.akamaitechnologies.com,a23-40-52-187.deploy.static.akamaitechnologies.com,a23-52-171-129.deploy.static.akamaitechnologies.com,,,23.57.90.73,23.67.33.215,2.18.190.136,104.97.14.33,104.117.182.17,23.49.60.129,23.67.33.223,23.56.109.174,23.53.40.123,23.40.52.187,23.52.171.129,None,None
deezer.com,server-52-222-214-30.fra56.r.cloudfront.net,server-18-65-244-41.syd3.r.cloudfront.net,server-18-164-96-45.jfk50.r.cloudfront.net,server-18-155-192-52.sfo53.r.cloudfront.net,server-18-67-17-86.yto50.r.cloudfront.net,server-13-227-219-34.ams54.r.cloudfront.net,server-18-154-227-59.iad55.r.cloudfront.net,server-52-222-214-104.fra56.r.cloudfront.net,server-18-164-96-53.jfk50.r.cloudfront.net,server-18-67-195-85.bom78.r.cloudfront.net,server-108-157-254-108.sin2.r.cloudfront.net,server-18-155-192-117.sfo53.r.cloudfront.net,,52.222.214.30,18.65.244.41,18.164.96.45,18.155.192.52,18.67.17.86,13.227.219.34,18.154.227.59,52.222.214.104,18.164.96.53,18.67.195.85,108.157.254.108,18.155.192.117,None
carwale.com,server-18-65-244-94.syd3.r.cloudfront.net,server-18-238-80-13.jfk52.r.cloudfront.net,server-18-66-122-10.fra60.r.cloudfront.net,server-18-238-243-74.ams58.r.cloudfront.net,server-18-173-121-111.sfo53.r.cloudfront.net,server-18-165-83-85.iad55.r.cloudfront.net,server-3-164-92-128.yto53.r.cloudfront.net,server-3-165-82-109.sin2.r.cloudfront.net,server-108-158-46-94.bom78.r.cloudfront.net,server-18-238-80-20.jfk52.r.cloudfront.net,,,,18.65.244.94,18.238.80.13,18.66.122.10,18.238.243.74,18.173.121.111,18.165.83.85,3.164.92.128,3.165.82.109,108.158.46.94,18.238.80.20,None,None,None
hochi.news,server-108-158-20-109.syd62.r.cloudfront.net,server-108-139-10-44.sfo5.r.cloudfront.net,server-13-32-151-35.iad66.r.cloudfront.net,server-13-249-91-50.jfk52.r.cloudfront.net,server-18-239-18-82.ams58.r.cloudfront.net,server-108-139-10-125.sfo5.r.cloudfront.net,server-18-67-39-112.yto50.r.cloudfront.net,server-13-249-91-65.jfk52.r.cloudfront.net,server-18-245-46-34.fra56.r.cloudfront.net,server-108-156-133-33.sin2.r.cloudfront.net,server-18-239-111-88.bom54.r.cloudfront.net,server-18-245-46-20.fra56.r.cloudfront.net,,108.158.20.109,108.139.10.44,13.32.151.35,13.249.91.50,18.239.18.82,108.139.10.125,18.67.39.112,13.249.91.65,18.245.46.34,108.156.133.33,18.239.111.88,18.245.46.20,None
nicovideo.jp,server-13-249-91-55.jfk52.r.cloudfront.net,server-18-66-112-103.fra56.r.cloudfront.net,server-18-239-69-30.ams58.r.cloudfront.net,server-18-161-216-53.blr50.r.cloudfront.net,server-18-160-46-93.iad55.r.cloudfront.net,server-18-66-112-118.fra56.r.cloudfront.net,server-108-138-246-69.sfo5.r.cloudfront.net,server-108-138-246-90.sfo5.r.cloudfront.net,server-13-249-91-93.jfk52.r.cloudfront.net,server-18-67-110-104.syd62.r.cloudfront.net,server-13-225-4-84.sin52.r.cloudfront.net,server-18-245-96-125.yto50.r.cloudfront.net,,13.249.91.55,18.66.112.103,18.239.69.30,18.161.216.53,18.160.46.93,18.66.112.118,108.138.246.69,108.138.246.90,13.249.91.93,18.67.110.104,13.225.4.84,18.245.96.125,None
www.gob.mx,a23-205-255-239.deploy.static.akamaitechnologies.com,a104-110-191-57.deploy.static.akamaitechnologies.com,a2-18-27-140.deploy.static.akamaitechnologies.com,a23-34-59-39.deploy.static.akamaitechnologies.com,a23-46-216-209.deploy.static.akamaitechnologies.com,a23-206-243-41.deploy.static.akamaitechnologies.com,a184-26-162-157.deploy.static.akamaitechnologies.com,a23-50-131-136.deploy.static.akamaitechnologies.com,a23-34-59-41.deploy.static.akamaitechnologies.com,a23-32-29-106.deploy.static.akamaitechnologies.com,a23-1-33-15.deploy.static.akamaitechnologies.com,a23-216-149-153.deploy.static.akamaitechnologies.com,,23.205.255.239,104.110.191.57,2.18.27.140,23.34.59.39,23.46.216.209,23.206.243.41,184.26.162.157,23.50.131.136,23.34.59.41,23.32.29.106,23.1.33.15,23.216.149.153,None
kakuyomu.jp,server-18-239-94-32.ams1.r.cloudfront.net,server-52-222-236-17.fra56.r.cloudfront.net,server-18-173-132-117.jfk52.r.cloudfront.net,server-13-32-151-85.iad66.r.cloudfront.net,server-18-67-93-99.syd62.r.cloudfront.net,server-18-173-132-127.jfk52.r.cloudfront.net,server-18-155-192-40.sfo53.r.cloudfront.net,server-18-66-41-22.bom78.r.cloudfront.net,server-18-155-192-3.sfo53.r.cloudfront.net,server-52-222-236-46.fra56.r.cloudfront.net,server-13-35-210-124.sin2.r.cloudfront.net,server-18-67-39-120.yto50.r.cloudfront.net,,18.239.94.32,52.222.236.17,18.173.132.117,13.32.151.85,18.67.93.99,18.173.132.127,18.155.192.40,18.66.41.22,18.155.192.3,52.222.236.46,13.35.210.124,18.67.39.120,None
bikewale.com,server-3-162-103-105.iad61.r.cloudfront.net,server-18-239-69-63.ams58.r.cloudfront.net,server-108-158-46-41.bom78.r.cloudfront.net,server-13-33-30-21.sin2.r.cloudfront.net,server-13-32-121-51.fra60.r.cloudfront.net,server-13-35-147-27.syd1.r.cloudfront.net,server-3-164-92-44.yto53.r.cloudfront.net,server-18-164-96-31.jfk50.r.cloudfront.net,server-18-238-192-74.sfo53.r.cloudfront.net,server-18-164-96-52.jfk50.r.cloudfront.net,server-18-238-192-118.sfo53.r.cloudfront.net,,,3.162.103.105,18.239.69.63,108.158.46.41,13.33.30.21,13.32.121.51,13.35.147.27,3.164.92.44,18.164.96.31,18.238.192.74,18.164.96.52,18.238.192.118,None,None
onelink.me,server-13-35-121-40.sfo5.r.cloudfront.net,server-108-139-47-34.jfk50.r.cloudfront.net,server-3-164-92-17.yto53.r.cloudfront.net,server-13-35-121-2.sfo5.r.cloudfront.net,server-18-66-112-80.fra56.r.cloudfront.net,server-99-84-208-66.iad79.r.cloudfront.net,server-18-239-94-56.ams1.r.cloudfront.net,server-13-35-238-105.sin2.r.cloudfront.net,server-18-66-57-40.bom78.r.cloudfront.net,server-108-139-47-96.jfk50.r.cloudfront.net,server-18-66-112-68.fra56.r.cloudfront.net,server-108-158-20-114.syd62.r.cloudfront.net,,13.35.121.40,108.139.47.34,3.164.92.17,13.35.121.2,18.66.112.80,99.84.208.66,18.239.94.56,13.35.238.105,18.66.57.40,108.139.47.96,18.66.112.68,108.158.20.114,None
ecnavi.jp,server-18-239-14-11.ams58.r.cloudfront.net,server-3-164-97-12.yto53.r.cloudfront.net,server-18-244-217-12.sfo53.r.cloudfront.net,server-18-239-116-11.bom54.r.cloudfront.net,server-54-192-194-15.iad50.r.cloudfront.net,server-13-32-26-16.fra56.r.cloudfront.net,server-108-156-141-11.sin2.r.cloudfront.net,server-18-238-62-11.jfk52.r.cloudfront.net,,,,,,18.239.14.11,3.164.97.12,18.244.217.12,18.239.116.11,54.192.194.15,13.32.26.16,108.156.141.11,18.238.62.11,None,None,None,None,None
salonboard.com,a23-216-149-140.deploy.static.akamaitechnologies.com,a2-18-27-135.deploy.static.akamaitechnologies.com,a104-110-191-10.deploy.static.akamaitechnologies.com,a23-32-29-88.deploy.static.akamaitechnologies.com,a23-1-33-9.deploy.static.akamaitechnologies.com,a23-216-149-136.deploy.static.akamaitechnologies.com,a23-34-59-21.deploy.static.akamaitechnologies.com,a23-205-255-234.deploy.static.akamaitechnologies.com,a23-50-131-147.deploy.static.akamaitechnologies.com,a23-34-59-10.deploy.static.akamaitechnologies.com,a23-206-243-10.deploy.static.akamaitechnologies.com,a184-26-162-149.deploy.static.akamaitechnologies.com,a23-44-203-72.deploy.static.akamaitechnologies.com,23.216.149.140,2.18.27.135,104.110.191.10,23.32.29.88,23.1.33.9,23.216.149.136,23.34.59.21,23.205.255.234,23.50.131.147,23.34.59.10,23.206.243.10,184.26.162.149,23.44.203.72
jra.jp,a2-18-66-57.deploy.static.akamaitechnologies.com,a104-110-191-27.deploy.static.akamaitechnologies.com,a23-201-47-210.deploy.static.akamaitechnologies.com,a23-34-59-24.deploy.static.akamaitechnologies.com,a23-216-149-148.deploy.static.akamaitechnologies.com,a23-1-33-17.deploy.static.akamaitechnologies.com,a125-56-219-2.deploy.static.akamaitechnologies.com,a23-216-149-136.deploy.static.akamaitechnologies.com,a23-50-131-141.deploy.static.akamaitechnologies.com,a23-205-255-234.deploy.static.akamaitechnologies.com,a23-34-59-5.deploy.static.akamaitechnologies.com,a23-206-243-64.deploy.static.akamaitechnologies.com,,2.18.66.57,104.110.191.27,23.201.47.210,23.34.59.24,23.216.149.148,23.1.33.17,125.56.219.2,23.216.149.136,23.50.131.141,23.205.255.234,23.34.59.5,23.206.243.64,None
sarkariresult.com,server-108-156-60-30.ams1.r.cloudfront.net,server-18-245-96-128.yto50.r.cloudfront.net,server-18-238-80-92.jfk52.r.cloudfront.net,server-18-238-80-129.jfk52.r.cloudfront.net,server-18-172-78-21.bom78.r.cloudfront.net,server-13-35-58-53.fra60.r.cloudfront.net,server-108-139-10-71.sfo5.r.cloudfront.net,server-18-67-110-29.syd62.r.cloudfront.net,server-13-35-58-125.fra60.r.cloudfront.net,server-13-35-210-78.sin2.r.cloudfront.net,server-99-86-229-49.iad79.r.cloudfront.net,server-18-238-80-79.jfk52.r.cloudfront.net,server-108-139-10-113.sfo5.r.cloudfront.net,108.156.60.30,18.245.96.128,18.238.80.92,18.238.80.129,18.172.78.21,13.35.58.53,108.139.10.71,18.67.110.29,13.35.58.125,13.35.210.78,99.86.229.49,18.238.80.79,108.139.10.113
boatrace.jp,a125-252-229-240.deploy.static.akamaitechnologies.com,a104-68-13-161.deploy.static.akamaitechnologies.com,a104-103-193-215.deploy.static.akamaitechnologies.com,a23-67-130-143.deploy.static.akamaitechnologies.com,a104-114-103-70.deploy.static.akamaitechnologies.com,a23-5-153-217.deploy.static.akamaitechnologies.com,a23-38-26-119.deploy.static.akamaitechnologies.com,a184-26-180-193.deploy.static.akamaitechnologies.com,a23-204-24-50.deploy.static.akamaitechnologies.com,a23-59-206-120.deploy.static.akamaitechnologies.com,,,,125.252.229.240,104.68.13.161,104.103.193.215,23.67.130.143,104.114.103.70,23.5.153.217,23.38.26.119,184.26.180.193,23.204.24.50,23.59.206.120,None,None,None
connatix.com,server-18-173-121-107.sfo53.r.cloudfront.net,server-3-168-73-17.jfk50.r.cloudfront.net,server-18-67-76-87.iad89.r.cloudfront.net,server-108-156-60-124.ams1.r.cloudfront.net,server-18-173-121-68.sfo53.r.cloudfront.net,server-3-168-73-90.jfk50.r.cloudfront.net,server-18-66-147-7.fra60.r.cloudfront.net,server-18-173-121-112.sfo53.r.cloudfront.net,server-3-164-92-121.yto53.r.cloudfront.net,server-52-85-49-63.hel50.r.cloudfront.net,server-52-85-49-92.hel50.r.cloudfront.net,server-3-168-73-43.jfk50.r.cloudfront.net,,18.173.121.107,3.168.73.17,18.67.76.87,108.156.60.124,18.173.121.68,3.168.73.90,18.66.147.7,18.173.121.112,3.164.92.121,52.85.49.63,52.85.49.92,3.168.73.43,None
jetbrains.com,server-18-65-39-42.ams1.r.cloudfront.net,server-18-244-18-98.fra56.r.cloudfront.net,server-13-227-138-71.bom50.r.cloudfront.net,server-108-138-246-70.sfo5.r.cloudfront.net,server-108-138-246-121.sfo5.r.cloudfront.net,server-13-32-151-61.iad66.r.cloudfront.net,server-18-244-18-3.fra56.r.cloudfront.net,server-108-138-128-32.jfk50.r.cloudfront.net,server-108-158-20-78.syd62.r.cloudfront.net,server-108-157-254-3.sin2.r.cloudfront.net,server-18-67-39-96.yto50.r.cloudfront.net,server-108-138-128-103.jfk50.r.cloudfront.net,,18.65.39.42,18.244.18.98,13.227.138.71,108.138.246.70,108.138.246.121,13.32.151.61,18.244.18.3,108.138.128.32,108.158.20.78,108.157.254.3,18.67.39.96,108.138.128.103,None
ftc.gov,a23-218-61-219.deploy.static.akamaitechnologies.com,a118-214-143-225.deploy.static.akamaitechnologies.com,a23-210-111-224.deploy.static.akamaitechnologies.com,a23-46-115-163.deploy.static.akamaitechnologies.com,a23-215-252-223.deploy.static.akamaitechnologies.com,a23-50-68-58.deploy.static.akamaitechnologies.com,a23-42-236-116.deploy.static.akamaitechnologies.com,a23-196-125-227.deploy.static.akamaitechnologies.com,a184-30-216-103.deploy.static.akamaitechnologies.com,a104-103-196-61.deploy.static.akamaitechnologies.com,,,,23.218.61.219,118.214.143.225,23.210.111.224,23.46.115.163,23.215.252.223,23.50.68.58,23.42.236.116,23.196.125.227,184.30.216.103,104.103.196.61,None,None,None
tesla.com,a2-18-50-207.deploy.static.akamaitechnologies.com,a2-18-54-207.deploy.static.akamaitechnologies.com,a23-7-244-207.deploy.static.akamaitechnologies.com,a2-18-48-207.deploy.static.akamaitechnologies.com,a2-18-52-207.deploy.static.akamaitechnologies.com,a2-18-49-207.deploy.static.akamaitechnologies.com,a2-18-55-207.deploy.static.akamaitechnologies.com,,,,,,,2.18.50.207,2.18.54.207,23.7.244.207,2.18.48.207,2.18.52.207,2.18.49.207,2.18.55.207,None,None,None,None,None,None
figma.com,server-18-173-219-80.jfk52.r.cloudfront.net,server-18-160-41-10.iad55.r.cloudfront.net,server-108-158-32-68.syd3.r.cloudfront.net,server-18-239-36-110.ams58.r.cloudfront.net,server-13-35-210-99.sin2.r.cloudfront.net,server-13-227-74-59.sfo20.r.cloudfront.net,server-18-245-96-103.yto50.r.cloudfront.net,server-18-172-64-76.bom78.r.cloudfront.net,server-18-173-219-129.jfk52.r.cloudfront.net,server-18-173-205-77.fra56.r.cloudfront.net,server-13-227-74-52.sfo20.r.cloudfront.net,,,18.173.219.80,18.160.41.10,108.158.32.68,18.239.36.110,13.35.210.99,13.227.74.59,18.245.96.103,18.172.64.76,18.173.219.129,18.173.205.77,13.227.74.52,None,None
chip.de,a23-36-162-19.deploy.static.akamaitechnologies.com,a23-46-216-199.deploy.static.akamaitechnologies.com,a23-1-105-215.deploy.static.akamaitechnologies.com,a23-46-216-206.deploy.static.akamaitechnologies.com,a2-16-6-211.deploy.static.akamaitechnologies.com,a23-52-40-107.deploy.static.akamaitechnologies.com,a23-205-255-207.deploy.static.akamaitechnologies.com,a104-77-150-162.deploy.static.akamaitechnologies.com,a23-1-240-82.deploy.static.akamaitechnologies.com,a2-16-153-220.deploy.static.akamaitechnologies.com,a23-3-70-40.deploy.static.akamaitechnologies.com,,,23.36.162.19,23.46.216.199,23.1.105.215,23.46.216.206,2.16.6.211,23.52.40.107,23.205.255.207,104.77.150.162,23.1.240.82,2.16.153.220,23.3.70.40,None,None
medallia.com,server-18-239-18-80.ams58.r.cloudfront.net,server-18-66-112-60.fra56.r.cloudfront.net,server-52-85-132-2.iad50.r.cloudfront.net,server-13-225-4-33.sin52.r.cloudfront.net,server-18-66-112-128.fra56.r.cloudfront.net,server-18-67-93-118.syd62.r.cloudfront.net,server-13-35-121-74.sfo5.r.cloudfront.net,server-108-138-128-103.jfk50.r.cloudfront.net,server-13-35-121-37.sfo5.r.cloudfront.net,server-18-67-17-95.yto50.r.cloudfront.net,server-108-158-61-46.bom78.r.cloudfront.net,server-108-138-128-80.jfk50.r.cloudfront.net,,18.239.18.80,18.66.112.60,52.85.132.2,13.225.4.33,18.66.112.128,18.67.93.118,13.35.121.74,108.138.128.103,13.35.121.37,18.67.17.95,108.158.61.46,108.138.128.80,None
app.link,server-18-66-41-98.bom78.r.cloudfront.net,server-13-225-63-24.ewr53.r.cloudfront.net,server-99-86-4-58.fra6.r.cloudfront.net,server-13-225-63-11.ewr53.r.cloudfront.net,server-18-239-18-88.ams58.r.cloudfront.net,server-3-168-86-74.sfo5.r.cloudfront.net,server-13-225-63-38.ewr53.r.cloudfront.net,server-99-86-4-74.fra6.r.cloudfront.net,server-13-35-210-5.sin2.r.cloudfront.net,server-18-67-39-28.yto50.r.cloudfront.net,server-18-238-192-128.sfo53.r.cloudfront.net,server-18-67-93-53.syd62.r.cloudfront.net,server-52-85-132-27.iad50.r.cloudfront.net,18.66.41.98,13.225.63.24,99.86.4.58,13.225.63.11,18.239.18.88,3.168.86.74,13.225.63.38,99.86.4.74,13.35.210.5,18.67.39.28,18.238.192.128,18.67.93.53,52.85.132.27
threads.net,instagram-p3-shv-01-ams4.fbcdn.net,instagram-p3-shv-01-syd2.fbcdn.net,instagram-p3-shv-02-fra3.fbcdn.net,instagram-p3-shv-01-sjc3.fbcdn.net,instagram-p3-shv-02-lhr8.fbcdn.net,instagram-p3-shv-02-lga3.fbcdn.net,instagram-p3-shv-01-yyz1.fbcdn.net,instagram-p3-shv-03-sin6.fbcdn.net,instagram-p3-shv-01-atl3.fbcdn.net,instagram-p3-shv-01-lga3.fbcdn.net,instagram-p3-shv-02-pnq1.fbcdn.net,,,157.240.201.63,157.240.8.52,157.240.0.63,157.240.22.63,157.240.214.63,157.240.241.63,31.13.80.52,157.240.15.63,31.13.65.52,31.13.71.52,157.240.237.63,None,None
www.nhs.uk,a23-55-152-74.deploy.static.akamaitechnologies.com,a23-214-140-164.deploy.static.akamaitechnologies.com,a23-197-138-50.deploy.static.akamaitechnologies.com,a2-22-111-68.deploy.static.akamaitechnologies.com,a104-82-137-27.deploy.static.akamaitechnologies.com,a23-222-45-108.deploy.static.akamaitechnologies.com,a23-2-239-174.deploy.static.akamaitechnologies.com,a184-87-190-150.deploy.static.akamaitechnologies.com,,,,,,23.55.152.74,23.214.140.164,23.197.138.50,2.22.111.68,104.82.137.27,23.222.45.108,23.2.239.174,184.87.190.150,None,None,None,None,None
kompas.com,server-13-226-94-31.jfk52.r.cloudfront.net,server-13-249-39-101.iad89.r.cloudfront.net,server-18-172-64-22.bom78.r.cloudfront.net,server-13-226-94-20.jfk52.r.cloudfront.net,server-13-35-238-104.sin2.r.cloudfront.net,server-3-164-92-107.yto53.r.cloudfront.net,server-18-239-83-17.ams58.r.cloudfront.net,server-13-35-238-128.sin2.r.cloudfront.net,server-13-227-74-10.sfo20.r.cloudfront.net,server-13-227-74-94.sfo20.r.cloudfront.net,server-18-245-86-109.fra60.r.cloudfront.net,server-13-226-94-62.jfk52.r.cloudfront.net,server-18-245-86-60.fra60.r.cloudfront.net,13.226.94.31,13.249.39.101,18.172.64.22,13.226.94.20,13.35.238.104,3.164.92.107,18.239.83.17,13.35.238.128,13.227.74.10,13.227.74.94,18.245.86.109,13.226.94.62,18.245.86.60
